ID	BK	SR	Month	Country	Project	Samples	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
LT1590	LT10	SR01	07/05/2023	Lithuania	INSIGNIA-EU	Yes	56	56	21.82375556	Agricultural	High	11.19999981	12		
LT1591	LT10	SR02	19/05/2023	Lithuania	INSIGNIA-EU	Yes	56	56	21.82375556	Agricultural	High	11.19999981	12		
FI1592	FI01	SR01	07/05/2023	Finland	INSIGNIA-EU	Yes	60	60	24.93458889	Artificial	High	10.5	16.5		
FI1593	FI01	SR02	22/05/2023	Finland	INSIGNIA-EU	Yes	60	60	24.93458889	Artificial	High	10.5	16.5		
FI1594	FI02	SR01	06/05/2023	Finland	INSIGNIA-EU	Yes	61	61	23.80080556	Artificial	High	10	22.70000076		
FI1595	FI02	SR02	21/05/2023	Finland	INSIGNIA-EU	Yes	61	61	23.80080556	Artificial	High	10	22.70000076		
FI1596	FI03	SR01	07/05/2023	Finland	INSIGNIA-EU	Yes	64	64	24.83221111	Forest/Natural	High	9.100000381	31.80000114		
FI1597	FI03	SR02	20/05/2023	Finland	INSIGNIA-EU	Yes	64	64	24.83221111	Forest/Natural	High	9.100000381	31.80000114		
FI1598	FI04	SR01	07/05/2023	Finland	INSIGNIA-EU	No	61	61	21.96205	Agricultural	High	9.900000572	17.70000076		
FI1599	FI04	SR02	20/05/2023	Finland	INSIGNIA-EU	Yes	61	61	21.96205	Agricultural	High	9.900000572	17.70000076		
FI1600	FI05	SR01	07/05/2023	Finland	INSIGNIA-EU	Yes	61	61	24.84826111	Forest/Natural	High	10.30000019	19.10000038		
FI1601	FI05	SR02	19/05/2023	Finland	INSIGNIA-EU	Yes	61	61	24.84826111	Forest/Natural	High	10.30000019	19.10000038		
FI1602	FI06	SR01	07/05/2023	Finland	INSIGNIA-EU	Yes	62	62	24.31399722	Forest/Natural	High	9.900000572	24.70000076		
FI1603	FI06	SR02	19/05/2023	Finland	INSIGNIA-EU	Yes	62	62	24.31399722	Forest/Natural	High	9.900000572	24.70000076		
FI1604	FI07	SR01	07/05/2023	Finland	INSIGNIA-EU	Yes	62	62	22.97388889	Forest/Natural	High	9.600000381	26.20000076		
FI1605	FI07	SR02	20/05/2023	Finland	INSIGNIA-EU	Yes	62	62	22.97388889	Forest/Natural	High	9.600000381	26.20000076		
FI1606	FI08	SR01	07/05/2023	Finland	INSIGNIA-EU	Yes	61	61	23.865025	Forest/Natural	High	10	22.70000076		
FI1607	FI08	SR02	21/05/2023	Finland	INSIGNIA-EU	Yes	61	61	23.865025	Forest/Natural	High	10	22.70000076		
FI1608	FI09	SR01	07/05/2023	Finland	INSIGNIA-EU	Yes	62	62	24.57214167	Forest/Natural	High	10	23.80000114		
FI1609	FI09	SR02	21/05/2023	Finland	INSIGNIA-EU	Yes	62	62	24.57214167	Forest/Natural	High	10	23.80000114		
FI1611	FI10	SR02	21/05/2023	Finland	INSIGNIA-EU	Yes	61	61	23.47083889	Forest/Natural	High	10	19.30000114		
LU1612	LU01	SR01	07/05/2023	Luxembourg	INSIGNIA-EU	Yes	49	49	5.98511	Artificial	High	14.30000019	47.40000153		
LU1613	LU01	SR02	21/05/2023	Luxembourg	INSIGNIA-EU	Yes	49	49	5.98511	Artificial	High	14.30000019	47.40000153		
LU1614	LU02	SR01	07/05/2023	Luxembourg	INSIGNIA-EU	Yes	50	50	6.23076	Agricultural	High	14.10000038	39.20000076		
LU1615	LU02	SR02	21/05/2023	Luxembourg	INSIGNIA-EU	Yes	50	50	6.23076	Agricultural	High	14.10000038	39.20000076		
LU1616	LU03	SR01	04/05/2023	Luxembourg	INSIGNIA-EU	Yes	50	50	6.1781	Artificial	High	14.10000038	39.20000076		
LU1617	LU03	SR02	19/05/2023	Luxembourg	INSIGNIA-EU	Yes	50	50	6.1781	Artificial	High	14.10000038	39.20000076		
LU1618	LU04	SR01	04/05/2023	Luxembourg	INSIGNIA-EU	Yes	49	49	6.05148	Artificial	High	14.60000038	37.90000153		
LU1619	LU04	SR02	18/05/2023	Luxembourg	INSIGNIA-EU	Yes	49	49	6.05148	Artificial	High	14.60000038	37.90000153		
LU1620	LU05	SR01	05/05/2023	Luxembourg	INSIGNIA-EU	Yes	50	50	6.12984	Forest/Natural	Medium	14.10000038	39.20000076		
LU1621	LU05	SR02	20/05/2023	Luxembourg	INSIGNIA-EU	Yes	50	50	6.12984	Forest/Natural	Medium	14.10000038	39.20000076		
H1622	HU01	SR01	06/05/2023	Hungary	INSIGNIA-EU	Yes	47	47	20.93188056	Agricultural	Low	17	58.29999924		
H1623	HU01	SR02	20/05/2023	Hungary	INSIGNIA-EU	Yes	47	47	20.93188056	Agricultural	Low	17	58.29999924		
H1624	HU02	SR01	04/05/2023	Hungary	INSIGNIA-EU	Yes	48	48	18.85832222	Forest/Natural	Medium	15.90000057	64.70000458		
H1625	HU02	SR02	19/05/2023	Hungary	INSIGNIA-EU	Yes	48	48	18.85832222	Forest/Natural	Medium	15.90000057	64.70000458		
